cui,code,str
C3653992,A,ALIMENTARY TRACT AND METABOLISM
C3653992,A,ALIMENTARY TRACT AND METABOLISM DRUGS
C3653755,A01,STOMATOLOGICAL PREPARATIONS
C3653755,A01A,STOMATOLOGICAL PREPARATIONS
C3653508,A01AA,Caries prophylactic agents
C0037508,A01AA01,sodium fluoride
C0142890,A01AA02,sodium monofluorophosphate
C0772032,A01AA03,olaflur
C0038143,A01AA04,stannous fluoride
C3540720,A01AA30,Caries prophylactic agent combinations
C3540720,A01AA30,combinations
C3652828,A01AA51,"sodium fluoride, combinations"
C3653636,A01AB,Antiinfectives and antiseptics for local oral treatment
C0020281,A01AB02,hydrogen peroxide
C0008196,A01AB03,chlorhexidine
C0002679,A01AB04,amphotericin B
C0071626,A01AB05,polynoxylin
C0058677,A01AB06,domiphen
C0000665,A01AB07,oxyquinoline
C0027603,A01AB08,neomycin
C0025942,A01AB09,miconazole
C0027444,A01AB10,natamycin
C3540008,A01AB11,various
C3540008,A01AB11,various antiinfectives and antiseptics for local oral treatment
C0019468,A01AB12,hexetidine
C0039644,A01AB13,tetracycline
C0105668,A01AB14,benzoxonium chloride
C0772481,A01AB15,tibezonium iodide
C0025373,A01AB16,mepartricin
C0025872,A01AB17,metronidazole
C0009074,A01AB18,clotrimazole
C0074750,A01AB19,sodium perborate
C0008293,A01AB21,chlortetracycline
C0013090,A01AB22,doxycycline
C0026187,A01AB23,minocycline
C0069351,A01AB24,octenidine
C0030092,A01AB25,oxytetracycline
C5881818,A01AB53,chlorhexidine and cetylpyridinium
C3653473,A01AC,Corticosteroids for local oral treatment
C0040864,A01AC01,triamcinolone
C0011777,A01AC02,dexamethasone
C0020268,A01AC03,hydrocortisone
C0032950,A01AC04,prednisolone
C3653107,A01AC54,"prednisolone, combinations"
C3654047,A01AD,Other agents for local oral treatment
C3654047,A01AD,Other agents for local oral treatment in ATC
C0014563,A01AD01,epinephrine
C0005099,A01AD02,benzydamine
C0004057,A01AD05,acetylsalicylic acid
C0050876,A01AD06,adrenalone
C0103049,A01AD07,amlexanox
C0379135,A01AD08,becaplermin
C3540762,A01AD11,various
C3540762,A01AD11,various other agents for local oral treatment in ATC
C3653499,A02,DRUGS FOR ACID RELATED DISORDERS
C0003138,A02A,ANTACIDS
C3541964,A02AA,antacids containing magnesium compounds
C3541964,A02AA,Magnesium compounds
C0065517,A02AA01,magnesium carbonate
C0024477,A02AA02,magnesium oxide
C0771691,A02AA03,magnesium peroxide
C0024476,A02AA04,magnesium hydroxide
C0851342,A02AA05,magnesium silicate
C3539956,A02AA10,combinations
C3539956,A02AA10,Magnesium antacid compound combinations
C3653990,A02AB,Aluminium compounds
C3653990,A02AB,antacids containing aluminium compounds
C0002371,A02AB01,aluminium hydroxide
