code,EMIS_term,product_name,substance_name,formulation,administration_route
141000033119,1/2% Menthol In Aqueous  Cream  ,NA,NA,NA,NA
241000033114,8.4% Sodium Bicarbonate In Purified Chloroform  Water  ,NA,NA,NA,NA
341000033116,AAA 1.5mg/dose sore throat spray (Manx Healthcare Ltd),AAA 1.5mg/dose sore throat spray,Benzocaine,Spray,Oromucosal
441000033110,Abidec  Capsules,NA,NA,NA,NA
541000033111,Absorbent cotton BP 1988,Absorbent cotton BP 1988,NA,NA,NA
641000033112,Absorbent Dressing  Dressing  5 cm * 5 cm,NA,NA,NA,NA
741000033115,Absorbent lint BPC,Absorbent lint BPC,NA,NA,NA
841000033113,"Absorbent, Perforated, With Adhesive Border  Dressing  6 cm x 7 cm",NA,NA,NA,NA
941000033117,"Absorbent, Perforated, With Adhesive Border  Dressing  9 cm x 10 cm",NA,NA,NA,NA
1041000033119,"Absorbent, Perforated, With Adhesive Border  Dressing  9 cm x 15 cm",NA,NA,NA,NA
1141000033115,Absorbent cotton hospital quality,Absorbent cotton hospital quality,NA,NA,NA
1241000033110,Absorbent Cotton Wool (Propax)  Dressing  bp,NA,NA,NA,NA
1341000033117,Absorbent Dressing  Dressing  20 cm * 10 cm,NA,NA,NA,NA
1441000033111,Abidec Multivitamin drops (Omega Pharma Ltd),Abidec Multivitamin drops,Ascorbic acid/ Ergocalciferol/ Nicotinamide/ Pyridoxine hydrochloride/ Riboflavin/ Thiamine hydrochloride/ Vitamin A palmitate,Oral drops,Oral
1541000033112,"Absorbent Gauze, Type 13 Light Sterile  Gauze  90 cm*1 m",NA,NA,NA,NA
1641000033113,"Absorbent Gauze, Type 13 Light Sterile  Gauze  90 cm*10 m",NA,NA,NA,NA
1741000033116,"Absorbent Gauze, Type 13 Light Sterile  Gauze  90 cm*3 m",NA,NA,NA,NA
1841000033114,Abelcet  Injection  5 mg/ml,NA,NA,NA,NA
1941000033118,Abciximab 10mg/5ml solution for injection vials,Abciximab 10mg/5ml solution for injection vials,Abciximab,Solution for injection,Intravenous
2041000033112,Absorbent cotton and viscose ribbon gauze BP 1988 sterile 1.25cm,Absorbent cotton and viscose ribbon gauze BP 1988 sterile 1.25cm,NA,NA,NA
2141000033111,Absorbent cotton and viscose ribbon gauze BP 1988 sterile 2.5cm,Absorbent cotton and viscose ribbon gauze BP 1988 sterile 2.5cm,NA,NA,NA
2241000033116,Absorbable catgut chromic suture 2gauge 75cm length with 16mm curved cutting needle W480 (Ethicon Ltd),Absorbable catgut chromic suture 2gauge 75cm length with 16mm curved cutting needle,NA,NA,NA
2341000033114,Absorbable catgut chromic suture 2gauge 75cm length with 16mm curved round bodied needle W548 (Ethicon Ltd),Absorbable catgut chromic suture 2gauge 75cm length with 16mm curved round bodied needle,NA,NA,NA
2441000033115,Absorbable catgut chromic suture 3.5gauge 75cm length with 25mm Tapercut half circle heavy needle W565 (Ethicon Ltd),Absorbable catgut chromic suture 3.5gauge 75cm length with 25mm Tapercut half circle heavy needle,NA,NA,NA
2541000033119,Absorbable catgut chromic suture 3.5gauge 75cm length with 35mm Tapercut half circle needle W488 (Ethicon Ltd),Absorbable catgut chromic suture 3.5gauge 75cm length with 35mm Tapercut half circle needle,NA,NA,NA
2641000033118,Absorbable catgut chromic suture 3.5gauge 75cm length with 45mm Tapercut half circle heavy needle W492 (Ethicon Ltd),Absorbable catgut chromic suture 3.5gauge 75cm length with 45mm Tapercut half circle heavy needle,NA,NA,NA
2741000033110,Absorbent Cotton Wool Enclosed In Gauze  Tissue  ,NA,NA,NA,NA
2841000033117,Acipimox 250mg capsules,Acipimox 250mg capsules,Acipimox,Capsule,Oral
2941000033113,Acemetacin 60mg capsules,NA,NA,NA,NA
3041000033115,Acebutolol 100mg capsules,Acebutolol 100mg capsules,Acebutolol hydrochloride,Capsule,Oral
3141000033116,Acebutolol 200mg capsules,Acebutolol 200mg capsules,Acebutolol hydrochloride,Capsule,Oral
3241000033111,Acetazolamide  Capsules  500 mg,NA,NA,NA,NA
3341000033118,Acitretin 10mg capsules,NA,NA,NA,NA
3441000033112,Acitretin 25mg capsules,NA,NA,NA,NA
3541000033113,Achromycin 250mg capsules (Wyeth Pharmaceuticals),Achromycin 250mg capsules,Tetracycline hydrochloride,Capsule,Oral
3641000033114,Achromycin V  Capsules  250 mg,NA,NA,NA,NA
3741000033117,Acrosoxacin  Capsules  150 mg,NA,NA,NA,NA
3841000033110,Acrivastine 8mg capsules,Acrivastine 8mg capsules,Acrivastine,Capsule,Oral
3941000033119,Aciclovir 5% cream,Aciclovir 5% cream,Aciclovir,Cream,Cutaneous
4041000033117,Acnidazil  Cream  ,NA,NA,NA,NA
4141000033118,Aciclovir 200mg dispersible tablets,Aciclovir 200mg dispersible tablets,Aciclovir,Dispersible tablet/,Oral
4241000033113,Aciclovir 400mg dispersible tablets,Aciclovir 400mg dispersible tablets,Aciclovir,Dispersible tablet/,Oral
4341000033115,Acamprosate 333mg gastro-resistant tablets,Acamprosate 333mg gastro-resistant tablets,Acamprosate calcium,Gastro-resistant tablet,Oral
4441000033114,Achromycin  Ear/eye ointment  1 %,NA,NA,NA,NA
4541000033110,Activated charcoal 5g effervescent granules sachets,Activated charcoal 5g effervescent granules sachets,Activated charcoal,Effervescent granules,Oral
