formulation,administration_route,classification,priority,comments
bath additive,,topical,1,
bladder irrigation,,topical,1,
buccal film,,systemic,2,both
buccal tablet,,systemic,2,both
capsule,,systemic,1,
chewable capsule,,systemic,1,
collodion,,topical,1,
cream,,topical,1,
cutaneous emulsion,,topical,1,
cutaneous paint,,topical,1,
cutaneous paint/ Medicated nail lacquer,,topical,1,
cutaneous patch,,topical,1,
cutaneous solution,,topical,1,
cutaneous spray solution,,topical,1,
cutaneous wash,,topical,1,
dental gel,,topical,1,
dental suspension,,topical,1,
dispersible tablet,,systemic,1,
dispersion for injection,,systemic,1,
drop,,topical,2,oral drops
ear drops,,topical,1,
effervescent granules,,systemic,1,
effervescent powder,,systemic,1,
effervescent tablet,,systemic,1,
effervescent tablet,,systemic,1,
emulsion for infusion,,systemic,1,
emulsion for injection,,systemic,1,
enema,,topical,2,
eye drops,,topical,1,
eye ointment,,topical,1,
foam,,topical,1,
gastro-resistant capsule,,systemic,1,
gastro-resistant granules,,systemic,1,
gastro-resistant tablet,,systemic,1,
gastroenteral liquid,,systemic,1,
gel,,topical,1,
granules,,systemic,1,
implant,,systemic,1,
impregnated dressing,,topical,1,
infusion,,systemic,1,
inhalation gas,,systemic,1,
inhalation powder,,systemic,1,
inhalation solution,,systemic,1,
injection,,systemic,1,
intrauterine device,,topical,1,
intrauterine gel,,topical,1,
intravesical solution,,topical,1,
irrigation,,topical,1,
irrigation solution,,topical,1,
liquid,,topical,2,
lotion,,topical,1,
lozenge,,topical,1,
medicated chewing-gum,,topical,1,
medicated nail lacquer,,topical,1,
medicated plaster,,topical,1,
modified-release capsule,,systemic,1,
modified-release drops,,systemic,1,
modified-release granules,,systemic,1,
modified-release tablet,,systemic,1,
mouthwash,,topical,1,
nebuliser liquid,,systemic,1,
ointment,,topical,1,
ophthalmic strip,,topical,1,
oral drops,,systemic,2,
oral lyophilisate,,systemic,1,
oral solution,,systemic,1,
oral suspension,,systemic,1,
orodispersible tablet,,systemic,1,
oromucosal gel,,topical,1,
paste,,topical,1,
pastille,,topical,1,
pessary,,topical,1,
poultice,,topical,1,
powder,,systemic,2,
powder and solvent for solution for infusion,,systemic,1,
powder for solution for infusion,,systemic,1,
pressurised inhalation,,systemic,1,
rectal foam,,topical,1,
rectal ointment,,topical,1,
shampoo,,topical,1,
solution,,systemic,2,
solution for infusion,,systemic,1,
solution for injection,,systemic,1,
spray,,topical,1,
sublingual tablet,,systemic,1,
suppository,,systemic,1,
suspension for injection,,systemic,1,
tablet,,systemic,2,
transdermal patch,,systemic,1,
vaginal delivery system,,topical,1,
vaginal device,,topical,1,
vaginal gel,,topical,1,
,auricular,topical,1,
,buccal,systemic,2,
,cutaneous,topical,1,
,dental,topical,1,
,endocervical,systemic,1,
,endotracheopulmonary,systemic,1,
,epidural,systemic,1,
,gastroenteral,systemic,1,
,gingival,topical,1,
,inhalation,systemic,1,
,intestinal,systemic,1,
,intraarterial,systemic,1,
,intraarticular,systemic,1,
,intrabursal,topical,1,
,intracameral,systemic,1,
,intracavernous,systemic,1,
,intracerebroventricular,systemic,1,
,intracoronary,systemic,1,
,intradermal,topical,1,
,intralesional,topical,1,
,intrauterine,systemic,2,
,intravenous,systemic,1,
,nasal,topical,1,
,ocular,topical,1,
,oral,systemic,1,
,oromucosal,topical,1,
,perineural,systemic,1,
,sublingual,systemic,1,
,intramuscular,systemic,1,
,intraocular,systemic,1,
,rectal,systemic,2,
,vaginal,topical,2,
,intraosseous,systemic,1,
,intraperitoneal,systemic,1,
,intrathecal,systemic,1,
,perineural,systemic,1,
,intravesical,systemic,1,
,intravitreal,topical,1,
,iontophoresis,topical,1,
,endosinusial,topical,1,
,subcutaneous,systemic,1,
,urethral,topical,1,
